water_year,annual_max_cms,annual_min_cms,annual_avg_cms
1989,233.1042811,1.132673864,32.87369905515069
1990,377.1803966,0.764554858,36.36903750089589
1991,559.5975224,0.679604318,53.061644786399995
1992,133.6555159,0.849505398,17.465164061994535
1993,455.9012301,1.189307557,81.48825058
1994,614.1357689,2.520199347,90.46719990138357
1995,704.5231432,2.350298267,51.15107611581096
1996,678.7831297,2.038812955,56.09151841396448
1997,518.877897,1.500792869,34.31022121625753
1998,443.4418176,1.274258097,59.87898999592055
1999,517.6885894,1.302574943,45.97142371
2000,281.9565049,1.132673864,21.061808990308744
2001,351.2959671,1.953862415,49.727260073482185
2002,1080.004529,1.885901983,82.41396010370686
2003,188.0238614,1.557426563,14.800953491761643
2004,480.3669856,1.526278031,48.09772910001366
2005,801.4233922,1.384693798,61.653759605117806
2006,189.2131689,1.217624403,28.46730214370137
2007,332.0150263,0.79004002,33.09190014057808
2008,527.8826542,0.509703239,73.24751125238525
2009,506.3052171,2.630635048,75.52838913769041
2010,552.6032612,2.231367511,79.06701744869862
2011,655.2518301,2.036264438,70.71296197118082
2012,187.5651285,0.841010344,21.72981036415027
2013,803.3489378,1.233198669,64.80788005096439
2014,250.4540131,0.83251529,31.209881832619175
2015,433.587555,3.998338739,52.6860672
2016,1441.61066,1.788208862,65.63200251699728
2017,649.2203418,2.052971378,43.600316045967126
2018,398.2622889,0.947481687,44.83462333973151
2019,453.8057835,2.789209389,80.61641909561096
2020,875.0188765,2.452522083,79.43191441718852
2021,339.9154265,4.53154496,46.595694577134246
2022,490.9008525,3.936608013,64.58754162364657
2023,353.7227209,1.407347276,26.931684207832877
2024,186.9478212,1.149663972,34.54750679556011
2025,564.7795053,0.566336932,33.02486369156713
,,,
